File,Test Month,State,District,District Code,Experience in Plumbing,Pre -Test,Post -Test, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?,Grand total,Score
JH-Aug-1_0302.jpg,July,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,D,,A,,,,,,1,,0,,1,,,,,,2,20%
JH-Aug-1_0307.jpg,July,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,,,A,,B,,,,1,,,,1,,1,,,,3,30%
JH-Aug-1_0308.jpg,July,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
JH-Aug-1_0310.jpg,July,Jharkhand,Dhanbad,34 ,3 to 5 Year,,Post -Test,,B,C,,,,,,,,,1,1,,,,,,,,2,20%
JH-Aug-1_0312.jpg,July,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,C,,A,,,,,,1,,1,,1,,,,,,3,30%
JH-Aug-1_0314.jpg,July,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,,,A,,,,,,,,,,1,,,1,10%
JH-Aug-1_0318.jpg,July,Jharkhand,Hazaribagh,41 ,More than 5 Years,,Post -Test,,C,,C,A,,,,,A,,0,,0,1,,,,,0,1,10%
JH-Aug-1_0353.jpg,August,Jharkhand,Hazaribagh,41 ,More than 5 Years,,Post -Test,B,,C,,,,,,,,1,,1,,,,,,,,2,20%
JH-Aug-1_0354.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
JH-Aug-1_0364.jpg,July,Jharkhand,Hazaribagh,41 ,,,Post -Test,B,,,,,,,,C,,1,,,,,,,,1,,2,20%
JH-Aug-1_0426.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,,,,,,B,,,,,,,,,,1,,,,1,10%
JH-Aug-1_0433.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,C,,,A,,B,,,D,,0,,,1,,1,,,1,3,30%
JH-Aug-1_0435.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,,,B,,,,,1,,,,,1,,,,,2,20%
JH-Aug-1_0444.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,A,,,B,,,,,,,0,,,1,,,,,,,1,10%
JH-Aug-1_0460.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,B,C,,,A,,,,,,1,0,,,1,,,,,,2,20%
JH-Aug-1_0461.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,,,C,,,,,,,,,,1,,,,,,,,1,10%
JH-Aug-1_0466.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,B,,,,,,,,,D,1,,,,,,,,,1,2,20%
JH-Aug-1_0469.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,B,,,,A,,,,,,1,,,,1,,,,,,2,20%
JH-Aug-1_0478.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
JH-Aug-1_0489.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,C,,,,,,,,D,,0,,,,,,,,1,1,10%
JH-Aug-1_0493.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
JH-Aug-1_0496.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,C,C,A,,,,,D,1,,1,0,1,,,,,1,4,40%
JH-Aug-1_0501.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,C,,B,,,,,,,,0,,1,,,,,,,1,10%
JH-Aug-1_0506.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
JH-Aug-1_0509.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,,,,,,,D,1,,,,,,,,,1,2,20%
JH-Aug-1_0511.jpg,August,Jharkhand,Dhanbad,34 ,1 to 3 Year,,Post -Test,B,,C,,,,,,,,1,,1,,,,,,,,2,20%
JH-Aug-1_0535.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,,,,A,,,,C,,,,,,1,,,,1,,2,20%
JH-Aug-1_0539.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,D,C,,,,,,,,,0,1,,,,,,,,1,10%
JH-Aug-1_0552.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,A,,,,,,D,1,,,0,,,,,,1,2,20%
JH-Aug-1_0559.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,,,,,A,,,A,,,,,,,1,,,1,,,2,20%
JH-Aug-1_0560.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,,,,,,,,,1,,,,,,,,,,1,10%
JH-Aug-1_0572.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,B,,,,,,,,,,1,,,,,1,10%
JH-Aug-1_0593.jpg,August,Jharkhand,Jamtara,42 ,More than 5 Years,,Post -Test,,B,,C,,,,,,,,1,,0,,,,,,,1,10%
JH-Aug-1_0649.jpg,August,Jharkhand,Giridih,38 ,3 to 5 Year,,Post -Test,,A,,,A,,,,,D,,0,,,1,,,,,1,2,20%
JH-Aug-1_0655.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,C,,,,,,,,1,,1,,,,,,,,2,20%
JH-Aug-1_0657.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,,C,,,,,,,,,,1,,,,,,,,1,10%
JH-Aug-1_0723.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,B,,,,A,B,,,,,1,,,,1,1,,,,,3,30%
JH-Aug-1_0727.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,C,C,,,,,,,,,0,1,,,,,,,,1,10%
JH-Aug-1_0737.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,,A,,,C,,D,1,,,,1,,,0,,1,3,30%
JH-Aug-1_0739.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,B,B,,,,,,,,,1,0,,,,,,,,1,10%
JH-Aug-1_0748.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,B,C,,,,,,,,,1,0,,,,,,,,,1,10%
JH-Aug-1_0751.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,,,,A,B,,,B,C,,,,,1,1,,,0,0,2,20%
JH-Aug-1_0755.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,B,,C,,,A,C,,,,1,,1,,,0,0,,,,2,20%
JH-Aug-1_0769.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,,A,,,,,,1,,,,1,,,,,,2,20%
JH-Aug-1_0782.jpg,August,Jharkhand,Giridih,38 ,3 to 5 Year,,Post -Test,B,C,,,,,B,D,A,,1,0,,,,,1,0,0,,2,20%
JH-Aug-1_0785.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,,,,,,B,,,D,,,,,,,1,,,1,2,20%
JH-Aug-1_0795.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,,A,,,,,,1,,,,1,,,,,,2,20%
JH-Aug-1_0833.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,,C,,,,,,,,,,1,,,,,,,,1,10%
JH-Aug-1_0843.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,B,,,A,,,,,,,1,,,1,,,,,,2,20%
JH-Aug-1_0851.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,,,A,,,,,,1,,,,1,,,,,,2,20%
JH-Aug-1_0854.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,,,,,B,,,D,1,,,,,,1,,,1,3,30%
JH-Aug-1_0859.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,B,,,,,,,,,,1,,,,,1,10%
JH-Aug-1_0876.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,B,,,,,,,,,,1,,,,,1,10%
JH-Aug-1_0885.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,,B,,,,,,,,,,1,,,,,,,,,1,10%
JH-Aug-1_0907.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,C,,A,,,,,,1,,1,,1,,,,,,3,30%
JH-Aug-1_0937.jpg,August,Jharkhand,Dhanbad,34 ,3 to 5 Year,,Post -Test,,,,,,,B,A,,,,,,,,,1,1,,,2,20%
JH-Aug-1_0941.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,,,A,,,,,B,D,,,,0,,,,,0,1,1,10%
JH-Aug-1_0947.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,A,,,,,D,,,,,1,,,,,1,2,20%
JH-Aug-1_0964.jpg,August,Jharkhand,Dhanbad,34 ,1 to 3 Year,,Post -Test,,,C,,,,,,,D,,,1,,,,,,,1,2,20%
JH-Aug-1_0975.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,,,,,B,C,D,C,,,,,,,1,0,0,0,1,10%
JH-Aug-2_0021.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,B,,,,,,,,A,A,1,,,,,,,,0,0,1,10%
OD-AUG1_0052.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,B,,,B,,,,,,,1,,,1,,,,,,,2,20%
OD-AUG2_0022.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,, A,,, A,,,,,,,1,,,1,,,2,20%
OD-AUG2_0059.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,B,,,,, A,B,D,,1,1,,,,,0,0,0,,2,20%
OD-AUG2_0064.jpg,August,Odisha,Balangir,2 ,3 to 5 Year,,Post -Test,,B, A,,,,,,,D,,1,0,,,,,,,1,2,20%
OD-AUG2_0071.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,,,, A,,D,,,,1,,,,1,,0,,,,2,20%
OD-AUG2_0074.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,D,,,,,,,C,,1,0,,,,,,,1,,2,20%
OD-AUG2_0082.jpg,August,Odisha,Balasore,3 ,,,Post -Test,D,B,C,,,,,,D,,0,1,1,,,,,,0,,2,20%
OD-AUG2_0086.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,B,,,,,B,,,,,1,,,,,1,,,,,2,20%
OD-AUG2_0092.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,, A,D,, A,,, A,,,,0,0,,1,,,1,,,2,20%
OD-AUG2_0101.jpg,August,Odisha,Balangir,2 ,1 to 3 Year,,Post -Test,,,, A, A,B,,,,,,,,0,1,1,,,,,2,20%
OD-AUG2_0120.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,,,B, A,,,,,,,,,1,1,,,,,,2,20%
OD-AUG2_0133.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,,,,B,,B, A,,,,,,,0,,1,1,,,2,20%
OD-AUG2_0139.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,D,,B,, A,,,,,,0,,1,,1,,,2,20%
OD-AUG2_0166.jpg,August,Odisha,Bargarh,4 ,,,Post -Test,,B,,,,,B,,,,,1,,,,,1,,,,2,20%
OD-Aug3_0001.jpg,August,Odisha,Bargarh,4 ,,,Post -Test,B,,,, A,,,,,,1,,,,1,,,,,,2,20%
OD-Aug3_0004.jpg,August,Odisha,Bargarh,4 ,More than 5 Years,,Post -Test,,B,,B,,,,,,,,1,,1,,,,,,,2,20%
OD-AUG4_0047.jpg,August,Odisha,Balasore,3 ,3 to 5 Year,,Post -Test,B,B,,,,,,,,,1,1,,,,,,,,,2,20%
OD-AUG5_0003.jpg,August,Odisha,Balasore,3 ,More than 5 Years,,Post -Test,B,B,,,,,,,,,1,1,,,,,,,,,2,20%
